ph,temprature,odor,fat,turbidity,colour,grade
6.5,36,0,1,0,255,1
6.8,45,1,1,1,255,2
6.5,38,0,0,0,255,1
6.05,38,0,1,0,255,0
6.05,40,1,1,1,255,0
7.25,43,0,1,1,250,0
6.8,40,0,1,0,245,1
6.6,45,1,1,1,250,2
6.5,36,0,1,0,255,1
6.05,38,1,1,1,255,0
6.8,45,1,1,1,245,2
6.5,35,0,1,0,246,1
6.8,36,1,1,0,253,2
7.25,55.5,0,0,0,246,0
6.8,34,0,0,1,242.5,1
6.5,37,0,0,0,245,1
6.6,37,0,1,0,255,2
6.8,45,1,0,0,242.5,1
7.25,55.5,0,0,0,255,0
6.8,41,0,1,0,255,1
6.5,38,1,1,1,255,2
6.6,38,0,0,0,255,1
6.05,40,0,0,0,255,0
7.25,43,1,1,1,248,0
6.8,40,1,1,1,255,2
6.6,50,0,0,1,250,0
6.5,36,0,0,0,247,1
6.6,50,0,0,0,255,0
6.8,45,1,1,0,245,2
7.25,34,1,0,1,255,0
6.5,37,0,0,0,255,1
7.25,34,1,0,1,255,0
6.5,37,0,0,0,255,1
6.6,37,1,1,1,255,2
6.05,45,0,1,1,250,0
6.05,55.5,1,1,1,250,0
7.25,55.5,0,1,1,255,0
6.7,45,1,0,0,247,1
6.7,45,1,1,0,245,1
6.05,50,1,1,1,255,0
6.6,35,1,1,1,255,2
7.25,55.5,0,1,1,255,0
6.8,50,0,1,0,255,0
6.5,38,0,1,0,255,1
6.7,38,0,1,0,255,2
6.05,40,1,1,1,255,0
6.6,43,0,1,1,250,2
7.25,55,1,1,1,255,0
6.8,45,0,0,1,255,1
6.8,45,1,1,1,255,2
6.5,38,0,0,0,255,1
6.6,38,0,1,0,255,2
6.05,40,1,1,1,255,0
7.25,43,0,1,1,250,0
6.8,40,0,1,0,245,1
6.6,45,0,0,1,250,1
6.5,36,0,1,0,255,1
6.6,38,0,1,0,255,1
6.8,45,1,1,1,245,2
6.5,55,0,1,0,246,0
6.8,36,1,1,0,253,2
7.25,55.5,0,0,0,246,0
6.8,40,0,1,0,245,1
6.6,45,1,1,1,250,2
6.5,36,0,1,0,255,1
6.05,38,1,1,1,255,0
6.8,45,1,1,1,245,2
6.5,35,0,1,0,246,1
6.8,36,1,1,0,253,2
7.25,55.5,0,0,0,246,0
6.6,50,0,0,0,255,0
6.8,45,1,1,0,245,2
7.25,34,1,0,1,255,0
6.5,37,0,0,0,255,1
7.25,34,1,0,1,255,0
6.5,37,0,0,0,255,1
6.6,37,1,1,1,255,2
6.05,45,0,1,1,250,0
6.05,55.5,1,1,1,250,0
7.25,55.5,0,1,1,255,0
6.7,45,1,0,0,247,1
6.7,45,1,1,0,245,1
6.05,50,1,1,1,255,0
6.6,35,1,1,1,255,2
7.25,55.5,0,1,1,255,0
6.8,50,0,1,0,255,0
6.5,38,0,1,0,255,1
6.7,38,0,1,0,255,2
6.05,40,1,1,1,255,0
6.6,43,0,1,1,250,2
7.25,55,1,1,1,255,0
6.8,45,0,0,1,255,1
6.8,45,1,1,1,255,2
6.5,38,0,0,0,255,1
6.6,38,0,1,0,255,2
6.05,40,1,1,1,255,0
7.25,43,0,1,1,250,0
6.8,40,0,1,0,245,1
6.6,45,0,0,1,250,1
6.5,36,0,1,0,255,1
6.6,38,0,1,0,255,1
6.8,45,1,1,1,245,2
6.5,55,0,1,0,246,0
6.8,36,1,1,0,253,2
7.25,55.5,0,0,0,246,0
6.8,40,0,1,0,245,1
6.6,45,1,1,1,250,2
6.5,36,0,1,0,255,1
6.05,38,1,1,1,255,0
6.8,45,1,1,1,245,2
6.5,35,0,1,0,246,1
6.8,36,1,1,0,253,2
7.25,55.5,0,0,0,246,0
6.8,34,0,0,1,242.5,1
6.5,37,0,0,0,245,1
6.6,37,0,1,0,255,2
6.8,45,1,0,0,242.5,1
7.25,55.5,0,0,0,255,0
6.8,41,0,1,0,255,1
6.5,38,1,1,1,255,2
6.6,38,0,0,0,255,1
6.05,40,0,0,0,255,0
7.25,43,1,1,1,248,0
6.8,40,1,1,1,255,2
6.6,50,0,0,1,250,0
6.5,36,0,0,0,247,1
6.6,50,0,0,0,255,0
6.8,45,1,1,0,245,2
7.25,34,1,0,1,255,0
6.5,37,0,0,0,255,1
7.25,34,1,0,1,255,0
6.5,37,0,0,0,255,1
6.6,37,1,1,1,255,2
6.05,45,0,1,1,250,0
6.05,55.5,1,1,1,250,0
7.25,55.5,0,1,1,255,0
6.7,45,1,0,0,247,1
6.7,45,1,1,0,245,1
6.05,50,1,1,1,255,0
6.6,35,1,1,1,255,2
7.25,55.5,0,1,1,255,0
6.8,50,0,1,0,255,0
6.5,38,0,1,0,255,1
6.7,41,0,0,0,247,1
6.7,50,1,1,0,245,0
6.8,45,1,1,1,255,2
6.6,45,1,0,0,255,1
7.25,55.5,0,0,0,255,0
6.8,41,0,0,0,255,1
6.5,38,1,1,1,255,2
6.8,38,0,0,0,255,1
6.05,40,0,0,0,255,0
7.25,43,1,1,1,248,0
6.8,40,1,1,1,255,2
6.6,50,0,0,1,250,0
6.5,36,0,0,0,247,1
6.6,38,0,0,0,255,1
6.8,45,1,1,0,245,2
7.25,34,1,0,1,255,0
6.5,37,0,0,0,255,1
6.6,37,1,1,1,255,2
6.05,45,0,1,1,250,0
6.5,40,0,0,0,250,1
7.25,55.5,0,1,1,255,0
6.7,45,1,0,0,247,1
6.7,38,0,1,0,255,2
6.05,40,1,1,1,255,0
6.8,43,0,1,0,250,2
7.25,55,1,1,1,255,0
6.8,55,0,0,1,255,0
6.8,45,1,1,1,255,2
6.5,38,0,0,0,255,1
6.05,38,0,1,0,255,0
6.05,40,1,1,1,255,0
7.25,43,0,1,1,250,0
6.8,40,0,1,0,245,1
6.6,45,1,1,1,250,2
6.5,36,0,1,0,255,1
6.05,38,1,1,1,255,0
6.8,45,1,1,1,245,2
6.5,50,0,1,0,246,0
6.8,36,1,1,0,253,2
7.25,55.5,0,0,0,246,0
6.8,34,0,0,1,242.5,1
6.5,37,0,0,0,245,1
6.6,37,0,1,0,255,2
6.8,45,1,0,0,242.5,1
7.25,55.5,0,0,0,255,0
6.8,41,0,1,0,255,1
6.5,38,1,1,1,255,2
6.6,38,0,0,0,255,1
6.6,40,0,1,1,255,2
7.25,43,1,1,1,248,0
6.5,38,0,1,0,255,1
6.7,38,0,1,0,255,2
6.05,40,1,1,1,255,0
6.6,43,0,1,1,250,2
6.8,41,0,1,0,255,1
6.5,38,1,1,1,255,2
6.6,38,0,0,0,255,1
6.05,40,0,0,0,255,0
7.25,43,1,1,1,248,0
6.8,40,1,1,1,255,2
6.6,50,0,0,1,250,0
6.5,36,0,0,0,247,1
6.6,50,0,0,0,255,0
6.8,45,1,1,0,245,2
7.25,34,1,0,1,255,0
6.5,37,0,0,0,255,1
7.25,34,1,0,1,255,0
6.5,37,0,0,0,255,1
6.6,37,1,1,1,255,2
6.05,45,0,1,1,250,0
6.05,55.5,1,1,1,250,0
7.25,55.5,0,1,1,255,0
6.7,45,1,0,0,247,1
6.7,45,1,1,0,245,1
6.05,50,1,1,1,255,0
6.6,35,1,1,1,255,2
7.25,55.5,0,1,1,255,0
6.8,50,0,1,0,255,0
6.5,38,0,1,0,255,1
6.7,41,0,0,0,247,1
6.7,50,1,1,0,245,0
6.8,45,1,1,1,255,2
6.6,45,1,0,0,255,1
7.25,55.5,0,0,0,255,0
6.8,41,0,0,0,255,1
6.5,38,1,1,1,255,2
6.8,38,0,0,0,255,1
6.05,40,0,0,0,255,0
7.25,43,1,1,1,248,0
6.8,40,1,1,1,255,2
6.6,50,0,0,1,250,0
6.5,36,0,0,0,247,1
6.6,38,0,0,0,255,1
6.8,45,1,1,0,245,2
7.25,34,1,0,1,255,0
6.5,37,0,0,0,255,1
6.6,37,1,1,1,255,2
6.05,45,0,1,1,250,0
6.5,40,0,0,0,250,1
7.25,55.5,0,1,1,255,0
6.7,45,1,0,0,247,1
6.7,38,0,1,0,255,2
6.05,40,1,1,1,255,0
6.8,43,0,1,0,250,2
7.25,55,1,1,1,255,0
6.8,55,0,0,1,255,0
6.8,45,1,1,1,255,2
6.5,38,0,0,0,255,1
6.05,38,0,1,0,255,0
6.05,40,1,1,1,255,0
7.25,43,0,1,1,250,0
6.8,40,0,1,0,245,1
6.6,45,1,1,1,250,2
6.5,36,0,1,0,255,1
6.05,38,1,1,1,255,0
6.8,45,1,1,1,245,2
6.5,50,0,1,0,246,0
6.8,36,1,1,0,253,2
7.25,55.5,0,0,0,246,0
6.8,34,0,0,1,242.5,1
6.5,37,0,0,0,245,1
6.6,37,0,1,0,255,2
6.8,45,1,0,0,242.5,1
7.25,55.5,0,0,0,255,0
6.8,41,0,1,0,255,1
6.5,38,1,1,1,255,2
6.6,38,0,0,0,255,1
6.7,38,0,1,0,255,2
6.05,40,1,1,1,255,0
7.25,43,0,1,1,250,0
7.25,55,1,1,1,255,0
6.8,45,0,0,1,255,1
6.8,45,1,1,1,255,2
6.5,38,0,0,0,255,1
6.05,38,0,1,0,255,0
6.05,40,1,1,1,255,0
7.25,43,0,1,1,250,0
6.8,40,0,1,0,245,1
6.5,37,0,0,0,255,1
6.6,37,1,1,1,255,2
6.05,45,0,1,1,250,0
6.05,55.5,1,1,1,250,0
7.25,55.5,0,1,1,255,0
6.7,45,1,0,0,247,1
6.7,45,1,1,0,245,1
6.05,50,1,1,1,255,0
7.25,55,1,1,1,255,0
7.25,55.5,0,1,1,255,0
6.8,45,0,1,0,255,1
6.5,38,0,1,0,255,1
6.7,38,0,1,0,255,2
6.05,40,1,1,1,255,0
7.25,43,0,1,1,250,0
7.25,55,1,1,1,255,0
6.8,45,0,0,1,255,1
6.8,45,1,1,1,255,2
6.5,38,0,0,0,255,1
6.05,38,0,1,0,255,0
6.05,40,1,1,1,255,0
7.25,43,0,1,1,250,0
6.8,40,0,1,0,245,1
6.6,45,1,1,1,250,2
6.5,36,0,1,0,255,1
6.05,38,1,1,1,255,0
6.8,45,1,1,1,245,2
6.5,35,0,1,0,246,1
6.8,36,1,1,0,253,2
7.25,55.5,0,0,0,246,0
6.8,34,0,0,1,242.5,1
6.5,37,0,0,0,245,1
6.6,37,0,1,0,255,2
6.8,45,1,0,0,242.5,1
7.25,55.5,0,0,0,255,0
6.8,41,0,1,0,255,1
6.5,38,1,1,1,255,2
6.6,38,0,0,0,255,1
6.05,40,0,0,0,255,0
7.25,43,1,1,1,248,0
6.5,38,0,1,0,255,1
6.7,38,0,1,0,255,2
6.05,40,1,1,1,255,0
6.6,43,0,1,1,250,2
7.25,55,1,1,1,255,0
6.8,45,0,0,1,255,1
6.8,45,1,1,1,255,2
6.5,38,0,0,0,255,1
6.6,38,0,1,0,255,2
6.05,40,1,1,1,255,0
7.25,43,0,1,1,250,0
6.8,40,0,1,0,245,1
6.6,45,0,0,1,250,1
6.5,36,0,1,0,255,1
6.8,45,1,1,1,255,2
6.5,38,0,0,0,255,1
6.05,38,0,1,0,255,0
6.05,40,1,1,1,255,0
7.25,43,0,1,1,250,0
6.8,40,0,1,0,245,1
6.6,45,1,1,1,250,2
6.5,36,0,1,0,255,1
6.05,38,1,1,1,255,0
6.8,45,1,1,1,245,2
6.05,45,0,1,1,250,0
6.05,55.5,1,1,1,250,0
7.25,55.5,0,1,1,255,0
6.7,45,1,0,0,247,1
6.7,45,1,1,0,245,1
6.05,50,1,1,1,255,0
6.6,35,1,1,1,255,2
7.25,55.5,0,1,1,255,0
6.8,50,0,1,0,255,0
6.5,38,0,1,0,255,1
6.7,41,0,0,0,247,1
6.7,50,1,1,0,245,0
6.8,45,1,1,1,255,2
7.25,55,1,0,0,255,0
7.25,55.5,0,0,0,255,0
6.8,41,0,0,0,255,1
6.5,38,1,1,1,255,2
6.8,38,0,0,0,255,1
6.05,40,0,0,0,255,0
7.25,43,1,1,1,248,0
6.8,40,1,1,1,255,2
6.6,45,0,0,1,250,1
6.5,36,0,0,0,247,1
6.6,38,0,0,0,255,1
6.8,45,1,1,0,245,2
7.25,34,1,0,1,255,0
6.5,37,0,0,0,255,1
6.6,37,1,1,1,255,2
6.05,45,0,1,1,250,0
6.05,55.5,1,1,1,250,0
7.25,55.5,0,1,1,255,0
6.7,45,1,0,0,247,1
6.7,45,1,1,0,245,1
6.05,50,1,1,1,255,0
7.25,55,1,1,1,255,0
7.25,55.5,0,1,1,255,0
6.8,45,0,1,0,255,1
6.5,38,0,1,0,255,1
6.7,38,0,1,0,255,2
6.05,40,1,1,1,255,0
7.25,43,0,1,1,250,0
7.25,55,1,1,1,255,0
6.8,45,0,0,1,255,1
6.8,45,1,1,1,255,2
6.5,38,0,0,0,255,1
6.05,38,0,1,0,255,0
6.05,40,1,1,1,255,0
7.25,43,0,1,1,250,0
6.8,40,0,1,0,245,1
6.5,37,0,0,0,255,1
6.6,37,1,1,1,255,2
6.05,45,0,1,1,250,0
6.05,55.5,1,1,1,250,0
7.25,55.5,0,1,1,255,0
6.7,45,1,0,0,247,1
6.7,45,1,1,0,245,1
6.05,50,1,1,1,255,0
7.25,55,1,1,1,255,0
7.25,55.5,0,1,1,255,0
6.8,45,0,1,0,255,1
6.5,38,0,1,0,255,1
6.7,38,0,1,0,255,2
6.05,40,1,1,1,255,0
7.25,43,0,1,1,250,0
7.25,55,1,1,1,255,0
6.8,45,0,0,1,255,1
6.8,45,1,1,1,255,2
6.5,38,0,0,0,255,1
6.05,38,0,1,0,255,0
6.05,40,1,1,1,255,0
7.25,43,0,1,1,250,0
6.8,40,0,1,0,245,1
6.6,45,1,1,1,250,2
6.5,36,0,1,0,255,1
6.05,38,1,1,1,255,0
6.8,45,1,1,1,245,2
6.5,35,0,1,0,246,1
6.8,36,1,1,0,253,2
7.25,55.5,0,0,0,246,0
6.8,34,0,0,1,242.5,1
6.5,37,0,0,0,245,1
6.6,37,0,1,0,255,2
6.8,45,1,0,0,242.5,1
7.25,55.5,0,0,0,255,0
6.8,41,0,1,0,255,1
6.5,38,1,1,1,255,2
6.6,38,0,0,0,255,1
6.05,40,0,0,0,255,0
7.25,43,1,1,1,248,0
6.5,38,0,1,0,255,1
6.7,38,0,1,0,255,2
6.6,40,0,0,0,255,1
6.6,43,0,1,1,250,2
7.25,55,1,1,1,255,0
6.8,45,0,0,1,255,1
6.8,45,1,1,1,255,2
6.5,38,0,0,0,255,1
6.6,38,0,1,0,255,2
6.05,40,1,1,1,255,0
7.25,43,0,1,1,250,0
6.8,40,0,1,0,245,1
6.6,45,1,1,1,250,2
6.5,36,0,1,0,255,1
6.8,45,1,1,1,255,2
6.5,38,0,0,0,255,1
6.05,38,0,1,0,255,0
6.05,40,1,1,1,255,0
7.25,43,0,1,1,250,0
6.8,40,0,1,0,245,1
6.6,45,1,1,1,250,2
6.5,36,0,1,0,255,1
6.05,38,1,1,1,255,0
6.8,45,1,1,1,245,2
6.5,35,0,1,0,246,1
6.8,36,1,1,0,253,2
7.25,55.5,0,0,0,246,0
6.8,34,0,0,1,242.5,1
6.5,37,1,1,1,245,0
6.6,37,0,1,0,255,2
6.8,45,1,0,0,242.5,1
7.25,55.5,0,0,0,255,0
6.8,41,0,1,0,255,1
6.5,38,1,1,1,255,2
6.6,38,0,0,0,255,1
6.05,40,0,0,0,255,0
7.25,43,1,1,1,248,0
6.8,40,1,1,1,255,2
